,frequence,amplitude
52,关于肺癌的靶向治疗,http://ask.globecancer.com/q-1605.html
53,奥拉帕尼挑战胰腺癌！有这个突变，你也可能把癌王“吃没”,http://ask.globecancer.com/article-15105.html
54,美国foundation基因检测指导晚期肾癌患者用药,http://ask.globecancer.com/article-15104.html
55,2011年确诊IV期肺癌，跨过8年，我是这样赢得胜利的,http://ask.globecancer.com/article-14937.html
56,foundation案例分享2】 罕见肉瘤患者基因检测后接受靶向治疗，肿瘤显著缩小！,http://ask.globecancer.com/article-15114.html
57,医生宣布“临床治愈”！实验性药物让九岁女孩逃离癌症魔掌！,http://ask.globecancer.com/article-15116.html
58,美国国立卫生研究院：关于癌症靶向治疗，十件事，靶向治疗与化疗区别/靶向治疗分类/各个癌肿靶向药物/靶,http://ask.globecancer.com/article-15666.html
59,膀胱癌有可用的靶向药吗？,http://ask.globecancer.com/q-1176.html
60,靶向药吃了一个月，想问问多久耐药？,http://ask.globecancer.com/q-1120.html
61,肾癌找靶向药做基因检测，得花多少钱？,http://ask.globecancer.com/q-1098.html
62,肾癌吃靶向药用做基因检测吗？,http://ask.globecancer.com/q-1096.html
63,四期肾癌靶向药治疗有多大把握？,http://ask.globecancer.com/q-1092.html
64,医生说淋巴瘤白血病淋巴瘤导致白血病,http://ask.globecancer.com/q-206.html
65,一个部位照射，全身肿瘤消失！质子治疗竟能唤醒强大的免疫系统消灭肿瘤！,http://ask.globecancer.com/article-15597.html
66,什么是癌症基因检测，癌症为什么要做基因检测,http://ask.globecancer.com/article-15489.html
67,2020年肿瘤治疗疫苗研发进展盘点！,http://ask.globecancer.com/article-15611.html
68,国内第六款PD-1替雷利珠单抗价格，赠药方案公布！这些用药信息请收藏,http://ask.globecancer.com/article-15659.html
69,国内第六款PD-1替雷利珠单抗价格，赠药方案公布！这些用药信息请收藏,http://ask.globecancer.com/article-15658.html
70,什么是癌症基因检测，癌症为什么要做基因检测,http://ask.globecancer.com/article-15489.html
71,关于实体肿瘤TILs疗法的最新研究进展盘点！,http://ask.globecancer.com/article-15497.html
72,2020年肿瘤治疗疫苗研发进展盘点！,http://ask.globecancer.com/article-15611.html
73,【患者招募】治疗实体肿瘤，试试免疫综合治疗,http://ask.globecancer.com/article-15586.html
74,奥拉帕尼挑战胰腺癌！有这个突变，你也可能把癌王“吃没”,http://ask.globecancer.com/article-15105.html
75,美国foundation基因检测指导晚期肾癌患者用药,http://ask.globecancer.com/article-15104.html
76,foundation案例分享2】 罕见肉瘤患者基因检测后接受靶向治疗，肿瘤显著缩小！,http://ask.globecancer.com/article-15114.html
77,喜讯！10位美国顶级癌症专家将在本月为国内患者会诊！,http://ask.globecancer.com/article-15443.html
78,“不怕没方案，就怕误诊断”——北肿专家张小田主任告诉您如何避免误诊误治,http://ask.globecancer.com/article-15567.html
79,食道癌放疗后又堵塞，无法进食做胃造瘘,http://ask.globecancer.com/q-155.html
80,小细胞肺癌靶向药都是有哪些,http://ask.globecancer.com/q-154.html
81,透明细胞为主型肾癌的一线治疗-舒尼替尼,http://ask.globecancer.com/article-15282.html
82,透明细胞为主型肾癌的一线治疗-索拉非尼,http://ask.globecancer.com/article-15283.html
83,透明细胞为主型肾癌的一线治疗-培唑帕尼,http://ask.globecancer.com/article-15284.html
84,透明细胞为主型肾癌的一线治疗-阿昔替尼,http://ask.globecancer.com/article-15285.html
85,透明细胞为主型肾癌的一线治疗-卡博替尼,http://ask.globecancer.com/article-15286.html
86,透明细胞为主型肾癌的一线治疗-贝伐珠单抗联合干扰素,http://ask.globecancer.com/article-15287.html
87,非透明细胞型肾癌的系统治疗,http://ask.globecancer.com/article-15301.html
88,透明细胞为主型肾癌的后续治疗-替西罗莫司,http://ask.globecancer.com/article-15299.html
89,长效缓解！广谱抗癌药拉罗替尼治疗胃肠道肿瘤最新数据公布！拉罗替尼效果/NTRK靶点,http://ask.globecancer.com/article-15664.html
90,解放军总医院你们会帮助我们挂门诊号吗？,http://ask.globecancer.com/q-1585.html
91,除恩曲替尼外，还有哪些药物可治疗NTRK突变的患者？,http://ask.globecancer.com/q-1696.html
92,肺癌靶向药物耐药后怎么办？,http://ask.globecancer.com/q-1609.html
93,克唑替尼耐药后服用布加替尼还有效果吗？,http://ask.globecancer.com/q-1625.html
94,我有ROS1基因突变，在哪里报名参加临床试验呢？,http://ask.globecancer.com/q-1652.html
95,会诊案例|美国MD安德森癌症妇科肿瘤专家为晚期卵巢癌患者制定治疗方案,http://ask.globecancer.com/article-15066.html
96,cart细胞免疫疗法会产生什么副作用？,http://ask.globecancer.com/q-1431.html
97,什么是cart细胞免疫疗法？,http://ask.globecancer.com/q-1430.html
98,cart细胞免疫疗法的效果？,http://ask.globecancer.com/q-1429.html
99,科普一下cart细胞免疫疗法的过程？,http://ask.globecancer.com/q-1428.html
100,cart细胞免疫疗法的价格？,http://ask.globecancer.com/q-1427.html
101,中国哪里可以cart治疗?,http://ask.globecancer.com/q-1424.html
102,cart细胞免疫疗法适合的患者？,http://ask.globecancer.com/q-1426.html
103,cart细胞免疫疗法适合的患者？,http://ask.globecancer.com/q-1426.html
104,【实体瘤招募】CAR-T细胞治疗晚期实体瘤的安全性和有效性临床研究,http://ask.globecancer.com/article-15685.html
105,cart细胞免疫疗法的价格？,http://ask.globecancer.com/q-1427.html
106,从一鸣惊人到声名卓著，深入了解肿瘤免疫治疗界的黑马——CAR-T疗法,http://ask.globecancer.com/article-15676.html
107,科普一下cart细胞免疫疗法的过程？,http://ask.globecancer.com/q-1428.html
108,【实体瘤招募】CAR-T细胞治疗晚期实体瘤的安全性和有效性临床研究,http://ask.globecancer.com/article-15685.html
109,从一鸣惊人到声名卓著，深入了解肿瘤免疫治疗界的黑马——CAR-T疗法,http://ask.globecancer.com/article-15676.html
110,"一文总览|肿瘤的过继细胞治疗研究进展（TIL,TCR,CAR-T,NK)",http://ask.globecancer.com/article-15663.html
111,2020年最新癌症靶向，免疫治疗药物临床试验招募信息汇总！,http://ask.globecancer.com/article-15661.html
112,cart细胞免疫疗法的效果？,http://ask.globecancer.com/q-1429.html
113,cart细胞免疫疗法会产生什么副作用？,http://ask.globecancer.com/q-1431.html
114,肠道菌群竟然能够提升各类癌症治疗的成功率/肠道益生菌效果/肠道益生菌的优势/肠道益生菌的分类,http://ask.globecancer.com/article-15667.html
115,肠道菌群竟然能够提升各类癌症治疗的成功率/肠道益生菌效果/肠道益生菌的优势/肠道益生菌的分类,http://ask.globecancer.com/article-15667.html
116,肠道菌群竟然能够提升各类癌症治疗的成功率/肠道益生菌效果/肠道益生菌的优势/肠道益生菌的分类,http://ask.globecancer.com/article-15667.html
117,肠道菌群竟然能够提升各类癌症治疗的成功率/肠道益生菌效果/肠道益生菌的优势/肠道益生菌的分类,http://ask.globecancer.com/article-15667.html
118,十年，乳腺癌全面复发！她选择了这样治疗,http://ask.globecancer.com/article-14971.html
119,两次患癌，日本癌研有明消化内科主任为晚期肝内胆管细胞癌患者提供全新诊疗方案,http://ask.globecancer.com/article-15091.html
120,一文总览｜乳腺癌质子治疗知识大全,http://ask.globecancer.com/article-15134.html
121,超过7000名肿瘤患者使用电场疗法回归正常生活！,http://ask.globecancer.com/article-15117.html
122,胰腺癌终遇劲敌！电场疗法联合化疗，生存期翻倍！,http://ask.globecancer.com/article-15457.html
123,胰腺癌治疗没你想得那么简单！分内分泌型和外分泌型两类，药物选择完全不同！,http://ask.globecancer.com/article-14991.html
124,生存期翻了两倍！电场疗法三期临床试验即将招募复发性卵巢癌患者,http://ask.globecancer.com/article-15042.html
125,远离复发，用“魔力”电场解除脑瘤的魔咒,http://ask.globecancer.com/article-15055.html
126,敢于做第一个“吃螃蟹”的人，已经用电场制服癌细胞,http://ask.globecancer.com/article-15056.html
127,战胜致命脑瘤后，他说这两点最重要,http://ask.globecancer.com/article-15058.html
128,脑瘤的放射治疗,http://ask.globecancer.com/article-15314.html
129,首位中国患者入组！Optune+化疗进军中国胃癌的一线治疗​！,http://ask.globecancer.com/article-15665.html
130,儿童横纹肌肉瘤除了化疗还有其他办法吗？,http://ask.globecancer.com/q-1099.html
131,丹麦科学家研究证实：质子治疗更能保护脑瘤儿童记忆力,http://ask.globecancer.com/article-15118.html
132,刚刚！中国医院肿瘤专科及综合排行榜出炉！（2019复旦版）,http://ask.globecancer.com/article-15496.html
133,儿童髓母细胞瘤术后需要化疗吗,http://ask.globecancer.com/q-1419.html
134,2020最新肺癌NCCN指南出炉！所有可用靶向药、基因突变靶点都列全了,http://ask.globecancer.com/article-15601.html
135,恩曲替尼都有哪些副作用？,http://ask.globecancer.com/q-1711.html
136,恩曲替尼对于非小细胞肺癌脑转移患者效果怎么样？,http://ask.globecancer.com/q-1710.html
137,国内有恩曲替尼同类药物或者仿制药物吗？,http://ask.globecancer.com/q-1709.html
138,恩曲替尼耐药后怎么办？,http://ask.globecancer.com/q-1708.html
139,国内患者怎样报名参加恩曲替尼的临床试验？,http://ask.globecancer.com/q-1707.html
140,国内恩曲替尼临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-1706.html
141,国内有免费的恩曲替尼临床试验可以参加吗？,http://ask.globecancer.com/q-1705.html
142,使用恩曲替尼需要做哪些检测？,http://ask.globecancer.com/q-1704.html
143,恩曲替尼是针对哪种基因突变的？,http://ask.globecancer.com/q-1703.html
144,恩曲替尼在中国上市了吗？在哪里可以买到？,http://ask.globecancer.com/q-1702.html
145,恩曲替尼有国产药吗？,http://ask.globecancer.com/q-1701.html
146,恩曲替尼多少钱？是否可以社保报销？,http://ask.globecancer.com/q-1700.html
147,早期和晚期癌症都能使用恩曲替尼吗？,http://ask.globecancer.com/q-1699.html
148,恩曲替尼的治疗效果和治疗数据怎么样？,http://ask.globecancer.com/q-1698.html
149,恩曲替尼能治疗哪些癌症？,http://ask.globecancer.com/q-1697.html
150,恩曲替尼多少钱？是否可以社保报销？,http://ask.globecancer.com/q-1700.html
151,国内恩曲替尼临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-1706.html
152,国内有免费的恩曲替尼临床试验可以参加吗？,http://ask.globecancer.com/q-1705.html
153,恩曲替尼耐药后怎么办？,http://ask.globecancer.com/q-1708.html
154,国内有恩曲替尼同类药物或者仿制药物吗？,http://ask.globecancer.com/q-1709.html
155,恩曲替尼都有哪些副作用？,http://ask.globecancer.com/q-1711.html
156,硼中子俘获疗法的优势,http://ask.globecancer.com/q-1584.html
157,硼中子俘获疗法与质子放疗有什么区别,http://ask.globecancer.com/q-1583.html
158,硼中子俘获疗法的临床数据,http://ask.globecancer.com/q-1582.html
159,硼中子俘获疗法的治疗原理是什么,http://ask.globecancer.com/q-1581.html
160,什么是硼中子俘获疗法治疗,http://ask.globecancer.com/q-1580.html
161,【凯瑞思分子分析】骨、肺和肝转移前列腺癌选用培美曲塞治疗案例分享,http://ask.globecancer.com/article-15102.html
162,前列腺癌老药新适应症即将获批 但质子治疗才是首选疗法,http://ask.globecancer.com/article-15103.html
163,不可手术的胰头癌患者质子治疗3年后依旧健康生存,http://ask.globecancer.com/article-15110.html
164,肝癌治疗队伍越来越庞大！数据显示：肝癌质子治疗后，70%患者肿瘤消失,http://ask.globecancer.com/article-15089.html
165,”愈“见奇迹|肉瘤幸存者告诉你，为什么儿童要选择质子治疗？,http://ask.globecancer.com/article-15112.html
166,首批接受质子治疗的患者，因为人生已“输不起”,http://ask.globecancer.com/article-15115.html
167,梅奥诊所胜利钟声敲响：4岁脑干肿瘤患儿顺利完成质子治疗,http://ask.globecancer.com/article-15119.html
168,那些情况下肺癌适合放射治疗,http://ask.globecancer.com/q-149.html
169,非透明细胞型肾癌的姑息性放疗,http://ask.globecancer.com/article-15303.html
170,局限性前列腺癌的其他治疗,http://ask.globecancer.com/article-15323.html
171,关于肺癌的靶向治疗,http://ask.globecancer.com/q-1605.html
172,请教日本医院对肺癌复发转移有办法吗？,http://ask.globecancer.com/q-473.html
173,小细胞肺癌和非小细胞肺癌，哪个更容易转移？,http://ask.globecancer.com/q-472.html
174,怎样预防肺癌复发和转移呢？,http://ask.globecancer.com/q-471.html
175,肺癌经常转移的器官是哪些？,http://ask.globecancer.com/q-470.html
176,肺癌复发转移的概率有多大？,http://ask.globecancer.com/q-469.html
177,妈妈EGFR突变，吃靶向药易瑞沙有效一年,http://ask.globecancer.com/q-468.html
178,家人肺癌晚期，化疗后复发了，求下一步治疗方案。,http://ask.globecancer.com/q-467.html
179,我父亲手术后肺癌复发了，肺上又出现了两个病灶，求助怎么办？,http://ask.globecancer.com/q-466.html
180,关于肺癌的靶向治疗,http://ask.globecancer.com/q-1605.html
181,北京最好的肺癌内科专家都有谁？,http://ask.globecancer.com/q-288.html
182,国内肺癌治疗最好的医院排名？,http://ask.globecancer.com/q-287.html
183,日本肺癌专家有熟悉的吗？,http://ask.globecancer.com/q-286.html
184,都说美国的5年生存率高，不知道美国肺癌专家怎么样？,http://ask.globecancer.com/q-285.html
185,肺癌放疗哪里做的好呢,http://ask.globecancer.com/q-284.html
186,请教国内治疗肺癌最好的内科专家和医院,http://ask.globecancer.com/q-283.html
187,国内肺癌手术最好的医院和专家求推荐,http://ask.globecancer.com/q-282.html
188,除AB-106外，还有哪些药物可治疗ROS1/NTRK突变？,http://ask.globecancer.com/q-1940.html
189,不可思议，肺腺癌患者吃了这种靶向药居然变成了小细胞肺癌！,http://ask.globecancer.com/article-15684.html
190,肺腺癌基因检测，肺腺癌基因检测做几项，肺腺癌基因检测阴性,http://ask.globecancer.com/article-15683.html
191,是否有肺腺癌相关的临床试验？,http://ask.globecancer.com/q-1460.html
192,AZD9291耐药的肺腺癌患者怎么办？,http://ask.globecancer.com/q-1459.html
193,肺腺癌基因检测做几项？,http://ask.globecancer.com/q-1458.html
194,治疗肺癌的靶向药奥希替尼效果如何？,http://ask.globecancer.com/q-1457.html
195,肺腺癌一般能活多久,http://ask.globecancer.com/q-1456.html
196,肺腺癌晚期，,http://ask.globecancer.com/q-1248.html
197,肺腺癌晚期,http://ask.globecancer.com/q-1247.html
198,肺腺癌免疫细胞回输的效果如何？,http://ask.globecancer.com/q-313.html
199,肺腺癌能用细胞免疫治疗配合放化疗吗？,http://ask.globecancer.com/q-312.html
200,质子能治疗肺腺癌吗？,http://ask.globecancer.com/q-311.html
201,医生给我推荐细胞免疫治疗，不知道效果如何？,http://ask.globecancer.com/q-310.html
202,我爸爸肺腺癌不能手术，能否用质子治疗？,http://ask.globecancer.com/q-309.html
203,肺癌患者怎样参加国内新药临床试验？,http://ask.globecancer.com/q-461.html
204,质子能治疗iv期肺鳞癌吗,http://ask.globecancer.com/q-322.html
205,我爸爸肺腺癌，年龄太大不能手术，能否用质子治疗？,http://ask.globecancer.com/q-321.html
206,Pd1治疗肺鳞癌失效应该咋办？,http://ask.globecancer.com/q-320.html
207,我妈妈肺鳞癌化疗耐药了，还有什么新药吗,http://ask.globecancer.com/q-319.html
208,肺鳞癌都有哪些靶向药,http://ask.globecancer.com/q-318.html
209,古巴非小细胞肺癌疫苗治疗肺鳞癌有用吗？,http://ask.globecancer.com/q-317.html
210,谁能推荐国内最好的肺鳞癌专家,http://ask.globecancer.com/q-316.html
211,肺鳞癌基因检测都是阴性可以用靶向药吗？,http://ask.globecancer.com/q-315.html
212,我妈妈肺麟癌手术后复发了，现在该怎么办？,http://ask.globecancer.com/q-314.html
213,别不当回事！肺癌刚手术完的初期护理知识都在这,http://ask.globecancer.com/article-15672.html
214,如何能避免肺癌复发问题？,http://ask.globecancer.com/q-330.html
215,家人是i期非小细胞肺癌,http://ask.globecancer.com/q-329.html
216,肺癌手术后还能做什么预防复发？,http://ask.globecancer.com/q-328.html
217,手术能治愈肺癌吗？,http://ask.globecancer.com/q-327.html
218,网上说手术会导致病情快速进展，我妈妈刚确诊，求助怎样治疗？,http://ask.globecancer.com/q-326.html
219,我爸爸刚诊断肺癌，着急做手术，求助！,http://ask.globecancer.com/q-325.html
220,北京哪个医院肺癌手术最好？,http://ask.globecancer.com/q-324.html
221,北京肺癌手术专家能推荐吗？,http://ask.globecancer.com/q-323.html
222,肺癌患者不能手术了该如何治疗,http://ask.globecancer.com/article-15486.html
223,为什么有些肺癌可以手术，有些肺癌不能手术？,http://ask.globecancer.com/article-15485.html
224,怎样尽量减轻化疗的副作用，提高患者的免疫力，提高治疗效果,http://ask.globecancer.com/q-349.html
225,肺癌患者，一年前手术后做的化疗，现在复发了，求助下一步治疗方案？,http://ask.globecancer.com/q-348.html
226,化疗对身体伤害这么大，怎样保护身体呢？,http://ask.globecancer.com/q-347.html
227,肺癌化疗、靶向药和pd1哪个药物更好？,http://ask.globecancer.com/q-346.html
228,正在化疗，家人恶心呕吐厉害，吃不下饭去，有好办法吗？,http://ask.globecancer.com/q-345.html
229,我家人肺鳞癌，已经做了一个疗程化疗，今后怎么治疗呢？,http://ask.globecancer.com/q-344.html
230,我妈妈肺腺癌化疗疗程结束了，病灶缩小明显,http://ask.globecancer.com/q-343.html
231,美国治疗肺癌也用化疗药吗，看着我大姨真的很难受,http://ask.globecancer.com/q-342.html
232,我爸爸化疗一个周期了，医生说效果不好，求助专家,http://ask.globecancer.com/q-341.html
233,肺癌化疗有没有用啊，网上很多人说化疗会让患者病情恶化更快,http://ask.globecancer.com/q-340.html
234,爸爸是肺癌三期，想做质子治疗，靠谱吗？,http://ask.globecancer.com/q-358.html
235,谁能推荐国内最好的放疗医院或者专家,http://ask.globecancer.com/q-357.html
236,美国肺癌患者也需要做放疗吗,http://ask.globecancer.com/q-356.html
237,放疗副作用到底有多大？,http://ask.globecancer.com/q-355.html
238,我爸爸不愿意手术，放疗能治愈肺癌吗,http://ask.globecancer.com/q-354.html
239,家人肺小细胞肺癌，不能手术,http://ask.globecancer.com/q-353.html
240,哪些肺癌患者可以使用放疗治疗？,http://ask.globecancer.com/q-352.html
241,质子是放疗最好的技术吗？,http://ask.globecancer.com/q-351.html
242,肺癌放疗哪个医院最好啊？,http://ask.globecancer.com/q-350.html
243,肺癌目前获批的靶向药物有哪些,http://ask.globecancer.com/q-1455.html
244,常用的非小细胞肺癌靶向治疗有几种?代表药物是什么,http://ask.globecancer.com/q-1448.html
245,如期而至！小细胞肺癌迎来一线新疗法-德瓦鲁单抗,http://ask.globecancer.com/article-15682.html
246,肺癌9大靶点全面解读及对应靶向药物方案盘点！（2020版）,http://ask.globecancer.com/article-15662.html
247,小细胞肺癌新药鲁比卡丁Lurbinectin获FDA优先审批，上市在即！小细胞肺癌新药鲁比卡丁适应症,http://ask.globecancer.com/article-15640.html
248,2020肺癌靶向治疗最新进展盘点/肺癌相关靶点/肺癌靶点对应药物/EGFR靶向治疗/ALK的靶向药/,http://ask.globecancer.com/article-15639.html
249,小细胞肺癌免疫治疗——阿斯利康PD-L1肿瘤免疫疗法Imfinzi（德鲁单抗）,http://ask.globecancer.com/article-14942.html
250,我自己找机构做靶向药物基因检测，主治医生能认可吗？,http://ask.globecancer.com/q-367.html
251,国内肺癌基因检测靠谱吗,http://ask.globecancer.com/q-366.html
252,肺癌靶向药基因检测阴性，是否需要再换一家机构检测一下,http://ask.globecancer.com/q-365.html
253,肺腺癌都有哪些靶向药可以用,http://ask.globecancer.com/q-364.html
254,小细胞肺癌没有任何靶向药吗,http://ask.globecancer.com/q-363.html
255,肺癌靶向药易瑞沙耐药了，求助,http://ask.globecancer.com/q-362.html
256,肺癌靶向药能吃多久啊,http://ask.globecancer.com/q-361.html
257,肺癌EGFR突变，医生建议用易瑞沙治疗，还是奥西替尼好？,http://ask.globecancer.com/q-360.html
258,八大PD-1/PD-L1已上市！这份详尽的用药指南快收藏！,http://ask.globecancer.com/article-15625.html
259,小细胞肺癌免疫治疗——阿斯利康PD-L1肿瘤免疫疗法Imfinzi（德鲁单抗）,http://ask.globecancer.com/article-14942.html
260,国内八大PD-1/PD-L1已上市！这份详尽的用药指南快收藏,http://ask.globecancer.com/article-15636.html
261,用pdl疗效不好怎么办？,http://ask.globecancer.com/q-1246.html
262,Pd1能否细胞免疫治疗一起使用呢？,http://ask.globecancer.com/q-376.html
263,我爸爸使用opdivo一年了，医生刚说耐药了，病情进站了，还有好的办法吗,http://ask.globecancer.com/q-375.html
264,PD1治疗癌症真的那么神吗？,http://ask.globecancer.com/q-374.html
265,美国批准的pd1适应症是哪些肺癌患者,http://ask.globecancer.com/q-373.html
266,使用pd1前需要做什么检测，求助病友,http://ask.globecancer.com/q-372.html
267,Opdivo和keytruda哪个更有效,http://ask.globecancer.com/q-371.html
268,什么患者适合使用pd1呢？,http://ask.globecancer.com/q-370.html
269,肺癌PD1有效率是多少啊,http://ask.globecancer.com/q-369.html
270,PD1药物能用多久停药？,http://ask.globecancer.com/q-368.html
271,肺癌放疗期间，妈妈吃不下饭，全身无力怎么办啊,http://ask.globecancer.com/q-384.html
272,肺癌化疗期间，恶心呕吐吃不下饭怎么办,http://ask.globecancer.com/q-383.html
273,肺癌放疗后白细胞低怎么办,http://ask.globecancer.com/q-382.html
274,肺癌化疗后白细胞低怎么办,http://ask.globecancer.com/q-381.html
275,肺癌怎样预防pd1治疗副作用,http://ask.globecancer.com/q-380.html
276,怎样预防靶向药物副作用,http://ask.globecancer.com/q-379.html
277,怎样预防放疗副作用,http://ask.globecancer.com/q-378.html
278,怎样预防化疗副作用,http://ask.globecancer.com/q-377.html
279,拓姆刀都能治疗哪些肺癌患者？,http://ask.globecancer.com/q-397.html
280,质子治疗肺癌比传统放疗好在哪里，值得做吗？,http://ask.globecancer.com/q-394.html
281,质子治疗专家求推荐,http://ask.globecancer.com/q-393.html
282,什么肺癌患者可以选择质子治疗？,http://ask.globecancer.com/q-392.html
283,质子治疗肺癌的优势是什么？,http://ask.globecancer.com/q-391.html
284,质子治疗肺癌一点副作用都没有吗？,http://ask.globecancer.com/q-390.html
285,质子治疗肺癌需要多少钱？,http://ask.globecancer.com/q-389.html
286,国际上最好的质子医院求推荐,http://ask.globecancer.com/q-388.html
287,质子都能治疗哪些肺癌患者？,http://ask.globecancer.com/q-387.html
288,网上把质子说的这么神奇，求教实情？,http://ask.globecancer.com/q-386.html
289,肺癌如果质子治疗是能治愈癌症吗,http://ask.globecancer.com/q-385.html
290,求推荐拓姆刀治疗专家和医院,http://ask.globecancer.com/q-403.html
291,拓姆刀治疗肺癌的优势是什么？,http://ask.globecancer.com/q-401.html
292,什么肺癌患者可以选择拓姆刀治疗,http://ask.globecancer.com/q-402.html
293,拓姆刀治疗肺癌一点副作用都没有吗？,http://ask.globecancer.com/q-400.html
294,拓姆刀治疗肺癌需要多少钱？,http://ask.globecancer.com/q-399.html
